エリア	施設	タイムスタンプ	個人情報保護の方針について	全行程での宿泊数をお答えください（石川県以外での宿泊も含みます）	石川県内での宿泊数をお答えください	石川県内での宿泊エリアをお答えください	石川県外での宿泊エリアをお答えください	今回はどなたと石川県を訪れていますか？	今回の石川県の訪問目的は何ですか？（複数選択可）	石川県外から訪れた方にお聞きします。今回は主にどのような交通手段で石川県に来られましたか。※2つまでお答えください	次に、 当施設  を訪れる際に利用した主な交通手段をお答えください。※2つまでお答えください	前の設問で「自家用車」「徒歩」以外を選択された方にお聞きします。当該の交通手段をお使いいただいた満足度をお聞かせください。	上記満足度の理由について、具体的に教えてください	今回の旅行またはお出かけにおける、石川県内での具体的な宿泊費をお答えください。（予定でも可/１人あたり）	今回の旅行またはお出かけにおける石川県内での具体的な交通費をお答えください。（予定でも可/１人あたり） ※石川県外からの交通費、石川県内での交通費を含む。	今回の旅行またはお出かけにおける、石川県内での具体的な現地消費額をお答えください。（予定でも可/１人あたり） ※飲食、買い物、体験・観光などの消費額合計 ※宿泊費、交通費を除く	これまでに   当施設   には何度訪れたことがありますか。	今回   当施設   を訪れる際に参考にした情報源は何ですか？（複数選択可）	当施設   の前に訪れた主な場所（施設やスポット名称、エリアなど）を、次の名称リストからひとつ選んでください。  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設   が最初に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(前)	当施設   の後に訪れる予定の場所（施設やスポット名称、エリア）を、次の名称リストからひとつ選んでください  ※名称リストにない場所の場合は、「選択なし/該当施設なし」を選び、次の設問でお答えください。 ※当施設    が最後に訪れた場所である場合は、「選択なし/該当施設なし」をお選びください。	上記名称リストにない場合について、具体的にお答えください。(後)	当施設    における、消費総額をお答えください。（予定でも可/１人あたり）	当施設 における、商品・サービスの満足度をお答えください	上記満足度の理由につい具体的に教えてください。(サービス)	当施設   における、施設全体の満足度をお答えください。	上記満足度の理由につい具体的に教えてください。(施設全体)	当施設   において、不便を感じたり困ったことはありましたか。	上記不便を感じたり、困ったことについて具体的に教えてください	あなたは石川県への旅行または 当施設 へのお出かけを、どのくらい家族や友人に薦めたいと思いますか。 0（全く薦めたくない）～10（ぜひ薦めたい）でお答えください。	あなたが求めている   当施設   の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください	今後、再び石川県を訪れたいと思いますか	あなたが求めている石川県の飲食、土産、アクティビティについて、ご自由にご意見をお聞かせください。  (※必須項目です。無ければ「特になし」とご記入ください)	性別をお答えください	生まれた年をお答えください	お住いの都道府県をお答えください	お住いの市区町村をお答えください 例：新宿区	世帯年収をお答えください	アンケートに回答しようと思った動機をお答えください	旅全体の総合満足度を教えてください。	石川県への旅行を、どのくらい家族や友人に勧めたいと薦めたいと思いますか。 ０（まったく薦めたくない）～１０（ぜひ薦めたい）でお答え下さい。	今回の旅行またはお出かけにおいて、特に人に薦めたいと感じたものとその理由について具体的に教えてください。
加賀エリア	大江戸温泉物語Premium 山中グランドホテル	2026/01/03	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	宿でのんびり過ごす	自家用車	自家用車			10,000円以上 20,000円未満	5,000円以上 10,000円未満	3,000円以上 5,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		40,000円以上 50,000円未満	満足	ごはんがバイキングでしたが、とてもおいしかった	とても満足		感じなかった		9		また行きたい（1年以内）	手軽に体験（九谷焼など）できればいいなとおもった	女	1992	岐阜県	大野郡	600万円以上 700万円未満	景品が当たる	満足	8	
加賀エリア	ポイントバケーション加賀山中	2026/01/04	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	温泉や露天風呂, 名所、旧跡の観光	自家用車	自家用車			10,000円以上 20,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	初めて	新聞・雑誌・ガイドブック, 観光パンフレット・ポスター	選択なし/該当施設なし	今回初めてなので	選択なし／該当施設なし	海側を車で走る所	1,000円以上 3,000円未満	どちらでもない	子供用のアメニティもあると良かった	どちらでもない	露天風呂が入れなくて残念	感じなかった		5		機会があれば行きたい	特になし	女	1968	愛知県	尾張旭市	300万円以上 400万円未満	景品が当たる	満足	7	
加賀エリア	小松空港	2026/01/04	同意する	4泊以上	4泊以上	金沢エリア  （湯涌温泉、深谷温泉、犀川温泉など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる, 買い物、アウトレット, まちあるき、都市散策	飛行機	自家用車			使わない	50,000円以上 100,000円未満	50,000円以上 100,000円未満	11回目以上	友人・知人	石川県立航空プラザ		選択なし／該当施設なし		3,000円以上 5,000円未満	とても満足	子供が遊べる	とても満足	大人も見るところがある	感じなかった		9		また行きたい（1年以内）	とくになし	男	1981	宮崎県	東臼杵郡門川町	500万円以上 600万円未満	景品が当たる	とても満足	10	和菓子
加賀エリア	小松空港	2026/01/04	同意する	3泊	3泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	恋人	宿でのんびり過ごす, 地元の美味しいものを食べる, 友人・親戚を訪ねる	飛行機	レンタカー, 路線バス	とても満足	早かったから	20,000円以上 30,000円未満	30,000円以上 40,000円未満	20,000円以上 30,000円未満	11回目以上	インターネット・アプリ, Instagram	木場潟公園		選択なし／該当施設なし	小松イオン	5,000円以上 10,000円未満	とても満足	なんでも揃っていた	とても満足	便利だった	感じなかった		9	美味しいごはん屋さん沢山作って欲しい	また行きたい（1年以内）	イタリアンなどデートで使えるオシャレな飲食店欲しいです！	女	2001	北海道	札幌市	400万円以上 500万円未満	景品が当たる	とても満足	10	海鮮が美味しい
加賀エリア	大江戸温泉物語Premium 山下家	2026/01/04	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, まちあるき、都市散策	自家用車	自家用車			20,000円以上 30,000円未満	20,000円以上 30,000円未満	10,000円以上 20,000円未満	11回目以上	観光展・物産展, 新聞・雑誌・ガイドブック, 観光協会等の案内所	選択なし/該当施設なし	金沢城にいくため	那谷寺		3,000円以上 5,000円未満	どちらでもない		どちらでもない		感じなかった	ないです	5	よい	また行きたい（1年以内）	B級グルメがない	男	1970	滋賀県	栗東市	1,000万円以上 1,200万円未満	景品が当たる, 石川県の雑学を知りたい, なんとなく	満足	8	静か
加賀エリア	トレインパーク白山	2026/01/04	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	小学生以下連れの家族	テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット	新幹線, 在来線	在来線	とても満足	子供がたのしんでいる	使わない	3,000円以上 5,000円未満	5,000円以上 10,000円未満	初めて	新聞・雑誌・ガイドブック	選択なし/該当施設なし		選択なし／該当施設なし	フォーラスのポポンデッタ	1,000円以上 3,000円未満	とても満足	子供が楽しんでいる	とても満足		感じた	お金を払うところが一階にしかない	10		また行きたい（1年以内）	金沢市内に子供向けのイベントが少ないので、何かあれば嬉しい	女	1975	富山県	富山市	1,000万円以上 1,200万円未満	ひゃくまんさんが好き	とても満足	9	混んでなかった
加賀エリア	小松空港	2026/01/04	同意する	4泊以上	4泊以上	白山エリア （一里野温泉、白峰温泉、白山市など）	石川県外には泊まらない	小学生以下連れの家族	宿でのんびり過ごす, 地元の美味しいものを食べる, 買い物、アウトレット, 友人・親戚を訪ねる	飛行機	自家用車			50,000円以上 100,000円未満	50,000円以上 100,000円未満	1,000円以上 3,000円未満	11回目以上	X(旧：Twitter), Instagram, 友人・知人	木場潟公園		選択なし／該当施設なし		1,000円未満	とても満足	広くて子供が走りまわれる。	とても満足	広くて子供が走りまわれる。	感じなかった		10		また行きたい（1年以内）	金沢カレー	男	1984	東京都	墨田区	600万円以上 700万円未満	景品が当たる	とても満足	10	日本海、荒波が良い
加賀エリア	月うさぎの里	2026/01/04	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	夫婦2人	宿でのんびり過ごす, 温泉や露天風呂, テーマパーク（遊園地、動物園、博物館など）, 買い物、アウトレット, ホテルのカニずくしを食べる	自家用車	自家用車			10,000円以上 20,000円未満	5,000円以上 10,000円未満	使わない	初めて	インターネット・アプリ	月うさぎの里		選択なし／該当施設なし		1,000円以上 3,000円未満	満足	うさぎグッズ可愛い((o(｡･ω･｡)o))	満足	居心地良い	感じなかった		9		機会があれば行きたい	特になし	女	1968	神奈川県	足柄下郡箱根町	300万円以上 400万円未満	なんとなく	満足	9	
加賀エリア	たちばな四季亭	2026/01/04	同意する	2泊	2泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる	新幹線	在来線, 温泉の送迎バス	不満	新幹線の乗換があり、乗換時間も10分しかないため。	100,000円以上	5,000円以上 10,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ, Instagram	選択なし/該当施設なし	加賀温泉駅	選択なし／該当施設なし	加賀温泉駅	100,000円以上	満足	料金が高すぎる	満足	料金が高すぎる	感じた	ティッシュが少なかった	8	お土産が少なかった	また行きたい（1年以内）	ステーキの質が普通だったので、もっと上質なステーキが食べたかったです。	女	1989	石川県	金沢市	1,500万円以上	景品が当たる	満足	8	料理が美味しかった
加賀エリア	白峰温泉総湯	2026/01/04	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	石川県外には泊まらない	自分ひとり	アウトドア（海水浴、釣り、登山など）	県外から訪れていない（石川県内在住）	自家用車			使わない	1,000円以上 3,000円未満	1,000円未満	11回目以上	旧知	選択なし/該当施設なし	西山	選択なし／該当施設なし	普段の買い物をして帰る	1,000円未満	満足	お湯が好き	満足		感じなかった		10		石川県在住	土地ならではのもの	男	1982	石川県	白山市	500万円以上 600万円未満	景品が当たる	とても満足	10	
加賀エリア	大江戸温泉物語Premium 山下家	2026/01/04	同意する	1泊	1泊	加賀エリア （山代温泉、山中温泉、片山津温泉、粟津温泉、辰口温泉、加賀市、小松市など）	石川県外には泊まらない	小学生以下連れの家族	地元の美味しいものを食べる	新幹線	在来線, 	とても満足	暖かくて、早かった	10,000円以上 20,000円未満	5,000円以上 10,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし		選択なし／該当施設なし		5,000円以上 10,000円未満	満足	チェックイン時間が、早かったのでそんなに混んでいなかった	満足	全体的に古びてはいるが、手入れしてあり、良かった	感じなかった		8	まだ食事していないが、期待しています。	機会があれば行きたい	金箔や地元の名産品をもっと沢山の場所で購入出来れば良い	女	1961	富山県	中新川郡	400万円以上 500万円未満	景品が当たる	満足	8	加賀温泉駅から屋根つたいに　色々施設に行けるのが良かった
加賀エリア	ふれあい昆虫館	2026/01/04	同意する	日帰り	石川県内には宿泊しない	石川県内には宿泊しない	福井県	小学生以下連れの家族	買い物、アウトレット	自家用車	自家用車			使わない	5,000円以上 10,000円未満	3,000円以上 5,000円未満	11回目以上	観光展・物産展, Instagram	石川県立航空プラザ	新小松イオン	石川県立航空プラザ		1,000円以上 3,000円未満	とても満足	子供が虫好きだから	とても満足	スタッフの方が親切	感じなかった		8	虫の知識が学べたりおもちゃが魅力的	また行きたい（1年以内）	ご飯が美味しく癒される自然	女	1993	福井県	福井市	500万円以上 600万円未満	景品が当たる	とても満足	10	ご飯が美味しい
加賀エリア	大江戸温泉物語Premium 山下家	2026/01/04	同意する	1泊	石川県内には宿泊しない	石川県内には宿泊しない	福井県	親	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, ドライブ・ツーリング	自家用車	自家用車			10,000円以上 20,000円未満	5,000円以上 10,000円未満	5,000円以上 10,000円未満	初めて	インターネット・アプリ	ゆのくにの森		日本自動車博物館		20,000円以上 30,000円未満	満足	欲しいものが揃っている。興味がわく	満足	清潔感があって広い	感じなかった		8	名物が食べれるし旬の食べ物が多い	機会があれば行きたい	特になし	男	2010	岐阜県	恵那市	300万円以上 400万円未満	景品が当たる	満足	6	
加賀エリア	航空プラザ	2026/01/04	同意する	1泊	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	親	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	飛行機	レンタカー, 徒歩	とても満足	空港からレンタカー屋までの送迎がスムーズだったから。	10,000円以上 20,000円未満	10,000円以上 20,000円未満	20,000円以上 30,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	金沢駅	選択なし／該当施設なし		1,000円未満	満足	展示がわかりやすい説明だったから。	満足		感じなかった		8		機会があれば行きたい	お菓子など、一つから購入できるものが増えると嬉しい。様々なお菓子(特に和菓子)を自分用に購入したい。	女	2001	神奈川県	横須賀市	1,500万円以上	景品が当たる	とても満足	10	海鮮など、ご飯がおいしいから。
加賀エリア	航空プラザ	2026/01/04	同意する	1泊	1泊	能登エリア （和倉温泉、七尾市、輪島市、珠洲市など）	石川県外には泊まらない	中学生以上連れの家族	宿でのんびり過ごす, 温泉や露天風呂, 地元の美味しいものを食べる, 名所、旧跡の観光, まちあるき、都市散策	レンタカー, 飛行機	レンタカー	満足	レンタカーを借りた場所から近い	10,000円以上 20,000円未満	5,000円以上 10,000円未満	30,000円以上 40,000円未満	初めて	インターネット・アプリ	選択なし/該当施設なし	東茶屋街	選択なし／該当施設なし		1,000円未満	とても満足	入館もロッカーも無料　シミュレーションも低額	とても満足	展示が充実している	感じなかった		10	展示のボタンが故障していたのが残念ですが飛行機の好きな子ども以外も楽しめました	機会があれば行きたい	復興が進み、行きたかった輪島などにも観光が戻るようになって欲しいです	女	1968	神奈川県	横須賀市	1,500万円以上	なんとなく	とても満足	10	食事がおいしい　
